item,name_enus,when,pricemin,priceavg,pricemax,pricestart,priceend,quantityavg,quantitymin,quantitymax
152507,Akunda's Bite,2019-05-23, 493 , 601 , 685 , 493 , 527 ," 56,189 "," 27,577 "," 82,514 "
152507,Akunda's Bite,2019-05-24, 475 , 575 , 760 , 503 , 498 ," 127,828 "," 42,266 "," 200,820 "
152507,Akunda's Bite,2019-05-25, 414 , 451 , 503 , 498 , 426 ," 162,141 "," 131,221 "," 201,511 "
152507,Akunda's Bite,2019-05-26, 427 , 663 , 773 , 427 , 720 ," 83,787 "," 32,544 "," 150,766 "
152507,Akunda's Bite,2019-05-27, 515 , 611 , 721 , 720 , 515 ," 95,297 "," 57,122 "," 134,033 "
152507,Akunda's Bite,2019-05-28, 460 , 474 , 488 , 460 , 488 ," 16,359 "," 10,010 "," 22,707 "
152507,Akunda's Bite,2019-05-29," 1,015 "," 1,360 "," 1,808 "," 1,808 "," 1,015 "," 70,224 "," 5,725 "," 185,243 "
152510,Anchor Weed,2019-05-23," 2,495 "," 2,697 "," 3,407 "," 3,281 "," 2,547 "," 26,815 "," 18,338 "," 31,979 "
152510,Anchor Weed,2019-05-24," 2,538 "," 3,047 "," 3,812 "," 2,538 "," 2,832 "," 23,357 "," 13,867 "," 37,873 "
152510,Anchor Weed,2019-05-25," 2,482 "," 2,660 "," 2,831 "," 2,807 "," 2,544 "," 25,285 "," 17,866 "," 33,772 "
152510,Anchor Weed,2019-05-26," 2,375 "," 2,694 "," 3,762 "," 2,548 "," 3,683 "," 15,109 "," 8,681 "," 25,629 "
152510,Anchor Weed,2019-05-27," 3,174 "," 3,647 "," 4,273 "," 3,993 "," 3,174 "," 11,459 "," 10,062 "," 13,383 "
152510,Anchor Weed,2019-05-28," 2,487 "," 2,539 "," 2,591 "," 2,591 "," 2,487 "," 14,923 "," 13,313 "," 16,533 "
152510,Anchor Weed,2019-05-29," 2,486 "," 2,725 "," 2,971 "," 2,486 "," 2,741 "," 24,746 "," 8,304 "," 41,470 "
109076,Goblin Glider Kit,2019-05-23, 793 , 841 , 870 , 868 , 793 ," 3,323 "," 2,051 "," 4,225 "
109076,Goblin Glider Kit,2019-05-24, 682 , 837 ," 1,399 ", 792 ," 1,399 "," 2,663 "," 1,278 "," 3,922 "
109076,Goblin Glider Kit,2019-05-25," 1,097 "," 1,191 "," 1,399 "," 1,399 "," 1,097 "," 3,374 "," 1,003 "," 5,559 "
109076,Goblin Glider Kit,2019-05-26," 1,049 "," 1,082 "," 1,097 "," 1,095 "," 1,053 "," 6,437 "," 5,081 "," 7,689 "
109076,Goblin Glider Kit,2019-05-27," 1,047 "," 1,052 "," 1,066 "," 1,050 "," 1,047 "," 5,765 "," 4,401 "," 7,489 "
109076,Goblin Glider Kit,2019-05-28, 986 , 990 , 994 , 986 , 994 ," 4,962 "," 4,816 "," 5,107 "
109076,Goblin Glider Kit,2019-05-29, 780 , 924 , 994 , 993 , 794 ," 3,472 "," 1,750 "," 5,563 "
152512,Monelite Ore,2019-05-23, 748 , 836 , 944 , 944 , 832 ," 40,688 "," 24,703 "," 50,837 "
152512,Monelite Ore,2019-05-24, 667 , 761 , 907 , 820 , 679 ," 45,180 "," 15,961 "," 69,056 "
152512,Monelite Ore,2019-05-25, 688 , 890 ," 1,300 ", 688 , 936 ," 27,685 "," 13,059 "," 66,186 "
152512,Monelite Ore,2019-05-26, 694 , 835 , 936 , 936 , 837 ," 63,206 "," 34,803 "," 90,474 "
152512,Monelite Ore,2019-05-27, 770 , 859 , 910 , 835 , 880 ," 32,314 "," 18,663 "," 59,620 "
152512,Monelite Ore,2019-05-28, 710 , 727 , 744 , 744 , 710 ," 36,281 "," 28,766 "," 43,795 "
152512,Monelite Ore,2019-05-29, 683 , 725 , 759 , 732 , 728 ," 36,483 "," 18,805 "," 54,624 "
152513,Platinum Ore,2019-05-23," 2,275 "," 2,502 "," 2,758 "," 2,758 "," 2,284 "," 5,493 "," 3,063 "," 7,642 "
152513,Platinum Ore,2019-05-24," 2,147 "," 2,372 "," 2,431 "," 2,280 "," 2,395 "," 6,749 "," 3,717 "," 8,987 "
152513,Platinum Ore,2019-05-25," 2,030 "," 2,317 "," 2,666 "," 2,403 "," 2,283 "," 6,875 "," 4,452 "," 10,911 "
